researcher,unidad_academica,CENTRO,ZONA,id_scholar,h_index,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,articulos,capitulos,libros,softwares,innovaciones,trabajos_dirigidos
CLAUDIA IVONE MONSALVE ROJAS,"ESCUELA DE CIENCIAS ADMINISTRATIVAS, CONTABLES, ECONOMICAS Y DE NEGOCIOS",MEDELLIN,OCCIDENTE,NA,NA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001751988,GRUPO DE INVESTIGACIONES Y ESTUDIOS PROSPECTIVOS Y ESTRATEGICOS (GIEPE),2020-01-01, Actual,Especialización,Sin clasificar,0,0,0,0,0,0
ELENA DEL CARMEN RESTREPO ALVAREZ,"ESCUELA DE CIENCIAS ADMINISTRATIVAS, CONTABLES, ECONOMICAS Y DE NEGOCIOS",(BOGOTA Cra 30) JOSE ACEVEDO Y GÓMEZ,CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,12,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001321439,GRUPO DE INVESTIGACIONES Y ESTUDIOS PROSPECTIVOS Y ESTRATEGICOS (GIEPE),2012-02-01, 2017/2,Maestría/Magister,Sin clasificar,0,1,0,0,0,7
HECTOR FABIO RODRIGUEZ ALVAREZ,"ESCUELA DE CIENCIAS ADMINISTRATIVAS, CONTABLES, ECONOMICAS Y DE NEGOCIOS",CALI,CENTRO SUR,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000164757,GRUPO DE INVESTIGACIONES Y ESTUDIOS PROSPECTIVOS Y ESTRATEGICOS (GIEPE),2018-01-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
HUGO OCAMPO CARDENAS,"ESCUELA DE CIENCIAS ADMINISTRATIVAS, CONTABLES, ECONOMICAS Y DE NEGOCIOS",EJE CAFETERO (PEREIRA),OCCIDENTE,9FaiQ6sAAAAJ,1,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001358793,GRUPO DE INVESTIGACIONES Y ESTUDIOS PROSPECTIVOS Y ESTRATEGICOS (GIEPE),2020-01-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
HUMBERTO BEDOYA VALENCIA,"ESCUELA DE CIENCIAS ADMINISTRATIVAS, CONTABLES, ECONOMICAS Y DE NEGOCIOS",EJE CAFETERO (PEREIRA),OCCIDENTE,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001237616,GRUPO DE INVESTIGACIONES Y ESTUDIOS PROSPECTIVOS Y ESTRATEGICOS (GIEPE),2020-01-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
JUAN CARLOS PILONIETA CORTES,"ESCUELA DE CIENCIAS ADMINISTRATIVAS, CONTABLES, ECONOMICAS Y DE NEGOCIOS",MEDELLIN,OCCIDENTE,L5LhITEAAAAJ,0,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000051820,GRUPO DE INVESTIGACIONES Y ESTUDIOS PROSPECTIVOS Y ESTRATEGICOS (GIEPE),2020-01-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,3
OSCAR ANDRES GUALTERO RAMIREZ,"ESCUELA DE CIENCIAS ADMINISTRATIVAS, CONTABLES, ECONOMICAS Y DE NEGOCIOS",MEDELLIN,OCCIDENTE,NA,NA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000132112,GRUPO DE INVESTIGACIONES Y ESTUDIOS PROSPECTIVOS Y ESTRATEGICOS (GIEPE),2020-01-01, Actual,Especialización,Sin clasificar,0,0,0,0,0,0
JULIANA MORAES BOLDINI,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",FRONTERA AMAZONAS,AMAZONAS Y ORINOQUIA,NA,NA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000067981,GRUPO DE INVESTIGACION CIAB,2017-02-01, Actual,Doctorado,Investigador Junior (IJ),0,9,0,0,0,2
JULIAN EDUARDO MEJIA BALLESTEROS,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",PALMIRA,CENTRO SUR,NA,NA,Integrante,21,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001337603,PRODUCCION SOSTENIBLE,2017-01-01, Actual,Doctorado,Investigador Junior (IJ),8,1,0,0,0,3
JULIANA ISABEL CARVAJAL TAPIA,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",POPAYAN,CENTRO SUR,NA,NA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001243306,PRODUCCION SOSTENIBLE,2018-01-01, Actual,Doctorado,Sin clasificar,0,0,0,0,0,0
